target,target_label,cohort,event,n,positives,prevalence,auroc,auprc,no_skill_auprc,score
max_peak_flux,QR-1 max peak flux,common-cohort comparison,C+,27980,18196,0.6503216583273767,0.9702122619295623,0.9824734246933382,0.6503216583273767,q50 transformed
max_peak_flux,QR-1 max peak flux,common-cohort comparison,M+,27980,8596,0.3072194424588992,0.853646842286395,0.6551196033361095,0.3072194424588992,q50 transformed
max_peak_flux,QR-1 max peak flux,common-cohort comparison,X+,27980,968,0.034596140100071476,0.794424700133274,0.09333522182170009,0.034596140100071476,q50 transformed
cumulative_peak_flux,QR-2 cumulative peak flux,common-cohort comparison,C+,27980,18196,0.6503216583273767,0.9706302905789904,0.9834146071864833,0.6503216583273767,q50 transformed
cumulative_peak_flux,QR-2 cumulative peak flux,common-cohort comparison,M+,27980,8596,0.3072194424588992,0.8774969382720695,0.7147065875468492,0.3072194424588992,q50 transformed
cumulative_peak_flux,QR-2 cumulative peak flux,common-cohort comparison,X+,27980,968,0.034596140100071476,0.832777393548995,0.14763413605443335,0.034596140100071476,q50 transformed
max_rxfi,QR-3 max RXFI,common-cohort comparison,C+,27980,18196,0.6503216583273767,0.9478804723239832,0.962675271614965,0.6503216583273767,q50 transformed
max_rxfi,QR-3 max RXFI,common-cohort comparison,M+,27980,8596,0.3072194424588992,0.8275522163366927,0.6129391072376784,0.3072194424588992,q50 transformed
max_rxfi,QR-3 max RXFI,common-cohort comparison,X+,27980,968,0.034596140100071476,0.7936412443872514,0.1076771825706627,0.034596140100071476,q50 transformed
cumulative_rxfi,QR-4 cumulative RXFI,common-cohort comparison,C+,27980,18196,0.6503216583273767,0.9423833210177825,0.957407509198228,0.6503216583273767,q50 transformed
cumulative_rxfi,QR-4 cumulative RXFI,common-cohort comparison,M+,27980,8596,0.3072194424588992,0.811228995211663,0.5812696860579943,0.3072194424588992,q50 transformed
cumulative_rxfi,QR-4 cumulative RXFI,common-cohort comparison,X+,27980,968,0.034596140100071476,0.7762611130590261,0.09545198060894958,0.034596140100071476,q50 transformed
