group,fq_count,valid_count,missing_count,A1_count,A1_percent_valid,B1_count,B1_percent_valid,C1_count,C1_percent_valid,M1_count,M1_percent_valid,X1_count,X1_percent_valid,min,q1,median,mean,q3,p90,p95,p99,max
2010,1178,1150,28,1150,100.0,240,20.869565217391305,3,0.2608695652173913,0,0.0,0,0.0,1.67352087743e-08,5.37589848193e-08,7.21836741491e-08,9.068410076660801e-08,9.43069142778e-08,1.23880496972e-07,2.0961222944024982e-07,3.05257657374e-07,6.05761943007e-06
2011,82,81,1,81,100.0,49,60.49382716049383,5,6.172839506172839,1,1.2345679012345678,0,0.0,6.81941259018e-08,8.6404234878e-08,3.11993403557e-07,5.680911426980642e-07,4.38866265995e-07,8.94146751307e-07,1.01667967556e-06,5.296546805764044e-06,1.75700206455e-05
2012,149,109,40,109,100.0,109,100.0,31,28.440366972477065,0,0.0,0,0.0,2.37023797922e-07,3.41651229974e-07,3.62597688763e-07,6.509024132656789e-07,1.11368217404e-06,1.31893932576e-06,1.31893932576e-06,1.31893932576e-06,2.18795798901e-06
2013,126,101,25,101,100.0,101,100.0,21,20.792079207920793,0,0.0,0,0.0,1.93727132114e-07,3.87501501109e-07,6.984510037e-07,7.674997386058024e-07,8.42118481614e-07,1.25919939364e-06,2.05530704989e-06,2.05530704989e-06,2.05530704989e-06
2014,68,66,2,66,100.0,66,100.0,44,66.66666666666667,9,13.636363636363637,0,0.0,3.8182841422e-07,8.23487027901e-07,1.27483474444e-06,4.271443765529636e-06,2.290114025525e-06,1.4202188594950001e-05,2.9220177111674998e-05,3.27133311657e-05,3.27133311657e-05
2015,149,141,8,141,100.0,141,100.0,15,10.638297872340425,0,0.0,0,0.0,2.66267761617e-07,4.12212784795e-07,4.69471473252e-07,9.978275982247091e-07,8.85093470515e-07,1.21327605029e-06,4.60590490547e-06,6.37738548903e-06,6.37738548903e-06
2016,815,814,1,814,100.0,204,25.061425061425062,13,1.597051597051597,0,0.0,0,0.0,2.92511952438e-08,5.53602994557e-08,7.23861646179e-08,1.48582293696549e-07,1.00693618776175e-07,2.82129207108e-07,4.94124492434e-07,2.75812658401e-06,2.75812658401e-06
2017,2889,2889,0,2889,100.0,228,7.892004153686397,1,0.034614053305642094,0,0.0,0,0.0,1.71803549165e-08,4.11683522827e-08,6.01790901555e-08,6.741561132900336e-08,8.3353718594e-08,9.633645561278012e-08,1.10894646355e-07,3.25570994164e-07,1.4353216784e-06
2018,6423,6423,0,5655,88.0429705744979,296,4.6084384244122685,1,0.015569048731122529,0,0.0,0,0.0,9.99999971718e-10,1.48629988317e-08,2.42223912039e-08,3.553194318811694e-08,4.86399116539e-08,7.60520322274e-08,9.76591465474e-08,1.21559168065e-07,1.38615416745e-06
2019,7442,7442,0,5279,70.93523246439129,122,1.639344262295082,1,0.013437248051599033,0,0.0,0,0.0,9.99999971718e-10,9.32220522998e-09,1.58242503545e-08,2.468272437234663e-08,2.94400201994e-08,5.61821416056e-08,7.39320284993e-08,1.04935118372e-07,1.01442390132e-06
2020,6115,6115,0,5249,85.83810302534751,218,3.5650040883074405,3,0.04905968928863451,0,0.0,0,0.0,1.59878643657e-09,1.2558209139249999e-08,2.31111147997e-08,3.6519458481231967e-08,4.82454112216e-08,8.07489968224e-08,9.22652958479e-08,1.32087123461e-07,6.05420200372e-06
2021,2026,2026,0,2026,100.0,199,9.822309970384994,0,0.0,0,0.0,0,0.0,1.03615693803e-08,3.26270352957e-08,6.34963939206e-08,6.389221615307319e-08,8.16353065147e-08,9.86407115988e-08,1.21536430697e-07,2.48785227086e-07,6.33311060483e-07
2022,93,93,0,93,100.0,93,100.0,23,24.731182795698924,1,1.075268817204301,0,0.0,1.99483508823e-07,4.11182099924e-07,6.22741197276e-07,1.118116594694656e-06,7.9965070654e-07,3.351143732285995e-06,4.58604972664e-06,5.2332375707887866e-06,1.26758977785e-05
2023,43,43,0,43,100.0,43,100.0,40,93.02325581395348,1,2.3255813953488373,0,0.0,7.00556256561e-07,1.731542340625e-06,3.09535425913e-06,2.854931205261418e-06,3.09535425913e-06,3.7081392747500003e-06,5.025831478634998e-06,8.250292230493392e-06,1.03667252915e-05
2024,66,66,0,66,100.0,66,100.0,56,84.84848484848484,1,1.5151515151515151,0,0.0,5.60131354632e-07,1.19315893699e-06,2.0020280544449997e-06,3.4230778903123484e-06,5.97747066422e-06,6.16552415522e-06,6.16552415522e-06,9.25323756744845e-06,1.49276675074e-05
