case_id,split,timestamp,year,max_peak_flux,log10_max_peak_flux,xrsb_max_timestamp,source_satellite,source_role,valid_count_24h,coverage_fraction_24h,previous_event_time,previous_event_flare_id,previous_event_class,previous_event_peak_flux,previous_event_delta_minutes,nearest_event_to_max_time,nearest_event_to_max_flare_id,nearest_event_to_max_class,nearest_event_to_max_peak_flux,nearest_event_to_max_delta_minutes,previous_flare_within_6h_before_window,near_max_event_outside_exact_window_within_6h,heuristic_shape,heuristic_rationale,local_valid_count
case_001,train,2010-08-18T06:00:00+00:00,2010,6.05761943007e-06,-5.2176980147,2010-08-18T06:00:00+00:00,14,primary,1294,0.89861111,2010-08-18T05:45:00+00:00,201008180439,C6.4,6.473e-06,-15,2010-08-18T05:45:00+00:00,201008180439,C6.4,6.473e-06,-15,true,true,elevated_background,local median is at least half the local maximum,121
case_002,train,2010-08-18T07:00:00+00:00,2010,3.06227798319e-06,-5.51395538807,2010-08-18T07:00:00+00:00,14,primary,1294,0.89861111,2010-08-18T05:45:00+00:00,201008180439,C6.4,6.473e-06,-75,2010-08-18T05:45:00+00:00,201008180439,C6.4,6.473e-06,-75,true,true,decay_from_prior_flare,prior catalog event is within 6h before window and local maximum is near window start,121
case_003,train,2010-08-18T08:00:00+00:00,2010,1.4179234995e-06,-5.84834719979,2010-08-18T08:00:00+00:00,14,primary,1294,0.89861111,2010-08-18T05:45:00+00:00,201008180439,C6.4,6.473e-06,-135,2010-08-18T05:45:00+00:00,201008180439,C6.4,6.473e-06,-135,true,true,decay_from_prior_flare,prior catalog event is within 6h before window and local maximum is near window start,121
case_004,train,2011-06-07T07:00:00+00:00,2011,1.75700206455e-05,-4.75522772819,2011-06-07T07:00:00+00:00,15,primary,1440,1.00000000,2011-06-07T06:41:00+00:00,201106070635,M3.6,3.648e-05,-19,2011-06-07T06:41:00+00:00,201106070635,M3.6,3.648e-05,-19,true,true,broad_gradual_structure,at least one 20-minute neighborhood remains above half the maximum,121
case_005,train,2011-06-07T08:00:00+00:00,2011,2.22817834583e-06,-5.6520500507,2011-06-07T08:00:00+00:00,15,primary,1440,1.00000000,2011-06-07T06:41:00+00:00,201106070635,M3.6,3.648e-05,-79,2011-06-07T06:41:00+00:00,201106070635,M3.6,3.648e-05,-79,true,true,decay_from_prior_flare,prior catalog event is within 6h before window and local maximum is near window start,121
case_006,train,2011-12-06T00:00:00+00:00,2011,1.29209524857e-06,-5.88870547055,2011-12-06T03:17:00+00:00,15,primary,1440,1.00000000,2011-12-05T23:25:00+00:00,201112052319,C9.9,9.977e-06,-35,2011-12-05T23:25:00+00:00,201112052319,C9.9,9.977e-06,-232,true,true,elevated_background,local median is at least half the local maximum,121
case_007,train,2011-12-15T07:00:00+00:00,2011,1.31394995151e-06,-5.88142117678,2011-12-15T07:00:00+00:00,15,primary,1432,0.99444444,2011-12-15T06:36:00+00:00,201112150622,C1.9,1.978e-06,-24,2011-12-15T06:36:00+00:00,201112150622,C1.9,1.978e-06,-24,true,true,elevated_background,local median is at least half the local maximum,121
case_008,train,2011-12-18T14:00:00+00:00,2011,1.01667967556e-06,-5.99281585834,2011-12-19T13:05:00+00:00,15,primary,1440,1.00000000,2011-12-18T13:38:00+00:00,201112181334,B7.6,7.646e-07,-22,2011-12-19T14:12:00+00:00,201112191403,C1.1,1.151e-06,67,true,true,elevated_background,local median is at least half the local maximum,121
case_009,validation,2012-01-28T16:00:00+00:00,2012,1.11368217404e-06,-5.95323873174,2012-01-29T06:04:00+00:00,15,primary,1440,1.00000000,2012-01-28T15:34:00+00:00,201201281525,C1.5,1.532e-06,-26,2012-01-28T15:34:00+00:00,201201281525,C1.5,1.532e-06,-870,true,false,elevated_background,local median is at least half the local maximum,121
case_010,validation,2012-01-28T17:00:00+00:00,2012,1.11368217404e-06,-5.95323873174,2012-01-29T06:04:00+00:00,15,primary,1440,1.00000000,2012-01-28T15:34:00+00:00,201201281525,C1.5,1.532e-06,-86,2012-01-28T15:34:00+00:00,201201281525,C1.5,1.532e-06,-870,true,false,elevated_background,local median is at least half the local maximum,121
