split,legacy_class,samples,exact_percent,adjacent_percent,severe_percent
train,FQ,18818,82.90997980656817,0.0,17.09002019343182
train,A,1312,0.0,100.0,0.0
train,B,18747,76.51890969221742,20.819331092974878,2.6617592148077027
train,C,26832,87.96586165772213,11.534734645199762,0.49940369707811566
train,M,8070,93.02354399008674,6.91449814126394,0.061957868649318466
train,X,981,98.67482161060143,1.2232415902140672,0.1019367991845056
validation,FQ,677,77.40029542097489,0.0,22.59970457902511
validation,A,84,0.0,100.0,0.0
validation,B,1127,71.16237799467613,26.88553682342502,1.9520851818988465
validation,C,1384,88.72832369942196,11.199421965317919,0.07225433526011561
validation,M,376,93.35106382978724,6.648936170212766,0.0
validation,X,24,95.83333333333333,0.0,4.166666666666667
test,FQ,7721,95.99792772956872,0.0,4.002072270431292
test,A,625,0.0,100.0,0.0
test,B,6777,95.38143721410654,0.6640106241699867,3.9545521617234765
test,C,15810,96.16698292220114,3.4218848829854522,0.41113219481340924
test,M,11418,97.86302329654931,2.1019442984760905,0.03503240497460151
test,X,1497,97.26118904475618,2.5384101536406147,0.20040080160320642
leaky_validation,FQ,1347,84.92947290274684,0.0,15.070527097253155
leaky_validation,A,96,0.0,100.0,0.0
leaky_validation,B,1543,74.98379779650033,22.553467271548932,2.462734931950745
leaky_validation,C,2161,86.76538639518742,13.234613604812587,0.0
leaky_validation,M,855,96.49122807017544,3.508771929824561,0.0
leaky_validation,X,46,100.0,0.0,0.0
