split,timestamp,legacy_class,regenerated_class,legacy_max_intensity,regenerated_max_peak_flux,regenerated_flare_id,flare_count_24h,ordinal_distance,legacy_event_identity
train,2010-07-16 18:00:00,C2.4,B2.2,2.4e-06,2.269e-07,201007161823,11,1,not available in split CSV
train,2010-07-19 10:00:00,B8.0,C1.0,8e-07,1.096e-06,201007200919,9,1,not available in split CSV
train,2010-07-19 11:00:00,B8.0,C1.0,8e-07,1.096e-06,201007200919,10,1,not available in split CSV
train,2010-07-19 12:00:00,B8.0,C1.0,8e-07,1.096e-06,201007200919,11,1,not available in split CSV
train,2010-07-19 13:00:00,B8.0,C1.0,8e-07,1.096e-06,201007200919,12,1,not available in split CSV
train,2010-07-20 14:00:00,B8.0,C1.1,8e-07,1.109e-06,201007201850,18,1,not available in split CSV
train,2010-07-20 15:00:00,B8.5,C1.1,8.499999999999999e-07,1.178e-06,201007211419,18,1,not available in split CSV
train,2010-07-20 16:00:00,B8.5,C1.1,8.499999999999999e-07,1.178e-06,201007211419,17,1,not available in split CSV
train,2010-07-20 17:00:00,B8.5,C1.1,8.499999999999999e-07,1.178e-06,201007211419,15,1,not available in split CSV
train,2010-07-20 18:00:00,B8.5,C1.1,8.499999999999999e-07,1.178e-06,201007211419,14,1,not available in split CSV
