split,class,count,percent
train,FQ,18818,25.171214553237025
train,A,1312,1.7549491706795077
train,B,18747,25.07624398073836
train,C,26832,35.8908507223114
train,M,8070,10.79454253611557
train,X,981,1.312199036918138
validation,FQ,677,18.43681917211329
validation,A,84,2.287581699346405
validation,B,1127,30.691721132897605
validation,C,1384,37.690631808278866
validation,M,376,10.239651416122005
validation,X,24,0.6535947712418301
test,FQ,7721,17.608556832694763
test,A,625,1.4253785805509944
test,B,6777,15.455665024630543
test,C,15810,36.05637657361795
test,M,11418,26.039956212370004
test,X,1497,3.4140667761357415
leaky_validation,FQ,1347,22.271825396825395
leaky_validation,A,96,1.5873015873015872
leaky_validation,B,1543,25.512566137566136
leaky_validation,C,2161,35.73082010582011
leaky_validation,M,855,14.136904761904763
leaky_validation,X,46,0.7605820105820106
