split,target,valid_count,zero_count,missing_invalid_count,mean,median,std,q1,q3,p90,p95,p99,maximum
train,max_peak_flux,74760,17415,0,1.0994309642857143e-05,1.221e-06,5.408959787754047e-05,1.316e-07,5.255e-06,1.784e-05,4.137e-05,0.0001854,0.001464
train,cumulative_peak_flux,74760,17415,0,2.540605279481006e-05,4.14895e-06,8.025538265962734e-05,1.49e-07,1.9130425e-05,5.9267000000000054e-05,0.00010651890000000005,0.000332334,0.0019389680000000001
train,max_rxfi,74760,17458,0,9.756762665635991,2.5477879094900366,45.9814508553782,0.5443037974683543,7.009302260643724,19.928990923651895,35.02662929222144,126.01863354037266,1993.4427292374191
train,cumulative_rxfi,74760,17458,0,17.966508479017413,6.895331534843889,52.49527535371867,0.714828897338403,18.584303983742423,42.138958624908184,66.21681160632437,176.16197515232693,2018.6171332714418
validation,max_peak_flux,3672,628,0,7.935301633986928e-06,1.421e-06,2.5809442092893882e-05,2.525e-07,4.106e-06,1.609e-05,3.2686999999999296e-05,0.0001257,0.0002573
validation,cumulative_peak_flux,3672,628,0,1.9532178676470587e-05,4.3045e-06,4.6411967932051364e-05,7.39725e-07,1.487225e-05,4.5716e-05,9.97260499999999e-05,0.00027317300000000004,0.000418956
validation,max_rxfi,3672,628,0,7.8433522232275505,2.7627257799671594,16.87243458187923,0.9843624699278268,9.129990714948931,17.442754632108816,32.65763261524206,59.69913589945012,171.38493723849368
validation,cumulative_rxfi,3672,628,0,16.528267439868507,7.320329344343498,24.31788942634339,2.274441340782123,20.041126459836175,41.8736150850597,66.66622111303099,115.22238381918555,171.38493723849368
test,max_peak_flux,43848,8343,0,1.7591824058109834e-05,3.571e-06,5.4341684506915864e-05,2.723e-07,1.305e-05,4.0007000000000845e-05,7.429e-05,0.0002243,0.0008943
test,cumulative_peak_flux,43848,8343,0,4.5804375006385696e-05,1.175895e-05,9.649802592724262e-05,5.589e-07,4.8456e-05,0.00012001,0.0001968958500000002,0.0004443985599999991,0.00167574
test,max_rxfi,43848,8343,0,9.268775643123709,3.335264900662252,20.80997106291507,1.090643274853801,9.007865257635409,21.541451481380808,37.88602150537634,103.96506615133046,327.2442748091603
test,cumulative_rxfi,43848,8343,0,18.01025078967503,9.634616153775905,29.250191710653468,2.3018353625295296,21.99048656384999,42.947634228495005,62.822531346299684,127.69297162561288,490.6297804982425
leaky_validation,max_peak_flux,6048,1278,0,8.859481547619047e-06,1.426e-06,2.7096274584040685e-05,1.69e-07,6.031e-06,1.912e-05,3.34e-05,0.0001425,0.0003301
leaky_validation,cumulative_peak_flux,6048,1278,0,2.5506998148148146e-05,5.0859e-06,5.664534247946243e-05,2.803e-07,2.25635e-05,6.422595000000001e-05,0.00013132134999999987,0.00033530488999999967,0.000442122
leaky_validation,max_rxfi,6048,1278,0,8.831068149165558,2.651886532635638,21.330347061796726,0.6748166259168704,8.173157579388855,16.52900595798056,33.2591890867753,124.21739130434783,206.47957259585164
leaky_validation,cumulative_rxfi,6048,1278,0,17.121131650596705,7.297678764674059,30.096391455840106,1.1745861677548284,20.140489750536982,42.726287056033904,62.849993002850724,146.24350769163848,291.743169808815
